baseline,ours_model,sample_id,clip_id,split,head,level,y_true,base_prob_0,base_prob_1,base_prob_2,base_prob_3,base_prob_4,base_prob_5,base_prob_6,base_prob_7,base_prob_8,base_y_pred,base_correct,base_true_prob,base_margin,ours_prob_0,ours_prob_1,ours_prob_2,ours_prob_3,ours_prob_4,ours_prob_5,ours_prob_6,ours_prob_7,ours_prob_8,ours_y_pred,ours_correct,ours_true_prob,ours_margin,head_name,base_wrong_ours_correct,ours_wrong_base_correct,label_disagree,true_prob_gain,margin_gain,showcase_score
pose_guided,task_region_scalar_gated_late,gA_5_s6_2019-03-08T10;40;35+01;00__masked__gaze__00066,gA_5_s6_2019-03-08T10;40;35+01;00__masked__gaze__00066,test_masked,gaze,clip,7,0.0003337062953505,5.239018355496228e-05,2.262161160615506e-07,3.3873639040393755e-05,0.0001096057385439,0.5519096851348877,0.4174118041992187,0.0300954133272171,5.331129068508744e-05,5,0,0.030095413,0.13449788,6.277911523966395e-08,8.128707122523338e-06,1.1207653471956291e-08,1.4178884555349216e-07,6.263432442210615e-05,0.079100489616394,0.0773792490363121,0.842917263507843,0.000532102654688,7,1,0.84291726,0.7638168,gaze,1,0,1,0.81282187,0.6293189,8.254962623119354
pose_guided,task_region_scalar_gated_late,gA_5_s6_2019-03-08T10;40;35+01;00__masked__gaze__00065,gA_5_s6_2019-03-08T10;40;35+01;00__masked__gaze__00065,test_masked,gaze,clip,7,0.0003723856934811,7.982688111951575e-05,1.831757998616013e-07,1.3500312888936604e-05,6.672631570836529e-05,0.668414831161499,0.3179017305374145,0.0130867855623364,6.40731377643533e-05,5,0,0.013086786,0.3505131,9.55017469550512e-08,1.060190606949618e-05,1.6634968957873753e-08,2.0966439251424165e-07,8.017152140382677e-05,0.0734347105026245,0.0551480986177921,0.8707014322280884,0.0006246277480386,7,1,0.87070143,0.7972667,gaze,1,0,1,0.85761464,0.44675362,8.161982893943787
pose_guided,task_region_scalar_gated_late,gA_5_s6_2019-03-08T10;40;35+01;00__masked__gaze__00067,gA_5_s6_2019-03-08T10;40;35+01;00__masked__gaze__00067,test_masked,gaze,clip,7,0.0005951124476268,7.177601946750656e-05,2.8697110110442736e-07,3.5466262488625944e-05,0.0001407875679433,0.7188243269920349,0.2239292860031128,0.0563121363520622,9.081979806069285e-05,5,0,0.056312136,0.49489504,4.8926469986554366e-08,4.749715571961133e-06,6.291068110897413e-09,1.004489007527809e-07,5.795261313323863e-05,0.0567060187458992,0.0335723906755447,0.9092291593551636,0.0004295987891964,7,1,0.90922916,0.85252315,gaze,1,0,1,0.852917,0.3576281,8.063462138175964
pose_guided,task_region_scalar_gated_late,gA_5_s6_2019-03-08T10;40;35+01;00__masked__gaze__00064,gA_5_s6_2019-03-08T10;40;35+01;00__masked__gaze__00064,test_masked,gaze,clip,7,0.0004858265456277,0.0001101803572964,2.0769883235516323e-07,3.50458431057632e-05,0.0001695779210422,0.8843475580215454,0.0952362716197967,0.0195562783628702,5.906383012188599e-05,5,0,0.019556278,0.78911126,5.997495122755936e-08,3.3027934023266425e-06,6.026307008966114e-09,8.206490065276739e-08,4.6201741497498006e-05,0.0287504866719245,0.009866090491414,0.9608974456787108,0.0004362405161373,7,1,0.96089745,0.93214697,gaze,1,0,1,0.94134116,0.14303571,8.025718033313751
pose_guided,task_region_scalar_gated_late,gB_10_s6_2019-03-11T15;11;03+01;00__masked__gaze__00074,gB_10_s6_2019-03-11T15;11;03+01;00__masked__gaze__00074,test_masked,gaze,clip,7,0.0003739745588973,0.0002332727890461,0.1773248761892318,0.0001590846513863,0.0088151972740888,0.0037009755615144,5.26784970134031e-06,0.0207657273858785,0.7886216640472412,8,0,0.020765727,0.6112968,0.000134777452331,0.0001419558248016,0.0084051098674535,0.0046271020546555,0.0339495465159416,0.0314415469765663,0.0020905809942632,0.8989940881729126,0.0202153585851192,7,1,0.8989941,0.86504453,gaze,1,0,1,0.87822837,0.25374776,8.010204493999481
pose_guided,task_region_scalar_gated_late,gC_12_s6_2019-03-13T10;09;40+01;00__masked__gaze__00049,gC_12_s6_2019-03-13T10;09;40+01;00__masked__gaze__00049,test_masked,gaze,clip,4,0.0010518140625208,0.0002244047354906,0.6306412220001221,0.0151949236169457,0.0310453418642282,0.0851664170622825,0.0001660276902839,0.0013667948078364,0.2351430505514145,2,0,0.031045342,0.39549816,0.0005374332540668,0.0048538255505263,0.0068627805449068,0.0813637524843216,0.8415898680686951,0.0622254833579063,0.0001810975809348,0.0010161469690501,0.0013695845846086,4,1,0.84158987,0.76022613,gaze,1,0,1,0.81054455,0.36472797,7.985817074775696
pose_guided,task_region_scalar_gated_late,gC_12_s6_2019-03-13T10;09;40+01;00__masked__gaze__00028,gC_12_s6_2019-03-13T10;09;40+01;00__masked__gaze__00028,test_masked,gaze,clip,2,0.0002150616492144,0.0018830855842679,0.3877305388450622,0.0001736290869303,1.6641658930893757e-06,7.349587394855917e-05,4.911703581456095e-05,3.286334958829684e-06,0.6098701357841492,8,0,0.38773054,0.2221396,0.0011947461171075,0.0009884827304631,0.9688997268676758,6.509444210678339e-05,8.76586818776559e-06,0.0001427508832421,0.0001108766155084,3.4760745393214165e-08,0.0285894609987735,2,1,0.9688997,0.94031024,gaze,1,0,1,0.5811692,0.71817064,7.88050901889801
pose_guided,task_region_scalar_gated_late,gC_13_s6_2019-03-25T10;12;22+01;00__masked__gaze__00012,gC_13_s6_2019-03-25T10;12;22+01;00__masked__gaze__00012,test_masked,gaze,clip,2,0.0001200711776618,0.8488657474517822,0.149772971868515,0.0010839959140866,1.3485563613357954e-05,2.3753339064569445e-06,1.501627775724046e-05,6.520695592371339e-07,0.0001256888208445,1,0,0.14977297,0.69909275,0.0034800502471625,0.0358944833278656,0.957245707511902,0.0003291385946795,8.154808892868459e-05,0.0010450297268107,0.0002460349642205,2.891560143325478e-06,0.0016751489602029,2,1,0.9572457,0.9213512,gaze,1,0,1,0.8074727,0.22225845,7.837203860282898
pose_guided,task_region_scalar_gated_late,gA_5_s6_2019-03-08T10;40;35+01;00__masked__gaze__00063,gA_5_s6_2019-03-08T10;40;35+01;00__masked__gaze__00063,test_masked,gaze,clip,7,0.000294730940368,9.731003956403585e-05,1.1028832602733021e-07,1.4071948498894926e-05,8.456932118861005e-05,0.8748613595962524,0.1177119612693786,0.0068998024798929,3.604879748309031e-05,5,0,0.0068998025,0.7571494,6.769779758997174e-08,1.1426032870076597e-05,1.1035776736889602e-08,2.903593099290447e-07,0.0001178265811176,0.0787273123860359,0.0282294675707817,0.8923271894454956,0.0005863955011591,7,1,0.8923272,0.8135999,gaze,1,0,1,0.8854274,0.056450486,7.827305316925049
pose_guided,task_region_scalar_gated_late,gC_12_s6_2019-03-21T09;43;18+01;00__masked__gaze__00004,gC_12_s6_2019-03-21T09;43;18+01;00__masked__gaze__00004,test_masked,gaze,clip,0,0.3339130282402038,0.0017297100275754,0.0251675322651863,0.0003221894148737,2.4508051410521148e-06,3.017554718098836e-06,3.1395454698213143e-06,4.206245648674667e-05,0.6388169527053833,8,0,0.33391303,0.30490392,0.9342567920684814,0.0009143449133262,0.015577383339405,0.0085665369406342,6.805232260376215e-05,3.778152313316241e-05,1.0800238669617102e-05,1.6441701518488117e-05,0.0405518114566803,0,1,0.9342568,0.893705,gaze,1,0,1,0.60034376,0.5888011,7.789488613605499
